time,datetime_utc,px,sz,side,notional,tid
1774169253482,2026-03-22 08:47:33.482,68728.0,0.00144,B,98.96832,564815424783141
1774169254089,2026-03-22 08:47:34.089,68727.0,0.00141,A,96.90507,170938683021653
1774169254268,2026-03-22 08:47:34.268,68728.0,0.0136,B,934.7008,284169298853485
1774169258060,2026-03-22 08:47:38.060,68728.0,0.00016,B,10.99648,708121196760203
1774169258060,2026-03-22 08:47:38.060,68727.0,0.25629,A,17614.042830000002,1018120971810491
1774169258060,2026-03-22 08:47:38.060,68727.0,0.00017,A,11.68359,1038919275266002
1774169258060,2026-03-22 08:47:38.060,68727.0,0.2,A,13745.400000000001,552622249513294
1774169258060,2026-03-22 08:47:38.060,68726.0,0.00017,A,11.683420000000002,635515723898918
1774169258060,2026-03-22 08:47:38.060,68726.0,0.00015,A,10.3089,679968486510195
1774169258390,2026-03-22 08:47:38.390,68725.0,0.00017,A,11.683250000000001,118514232615147
1774169258390,2026-03-22 08:47:38.390,68725.0,0.003,A,206.175,16414420474653
1774169258390,2026-03-22 08:47:38.390,68725.0,0.00015,A,10.30875,171679284850981
1774169258390,2026-03-22 08:47:38.390,68724.0,0.00017,A,11.68308,86668135674236
1774169258390,2026-03-22 08:47:38.390,68724.0,0.00017,A,11.68308,483829147150601
1774169258390,2026-03-22 08:47:38.390,68723.0,0.00017,A,11.682910000000001,501853058241722
1774169259049,2026-03-22 08:47:39.049,68722.0,0.00017,A,11.68274,539285268951157
1774169259049,2026-03-22 08:47:39.049,68722.0,0.01274,A,875.51828,588345604161398
1774169261015,2026-03-22 08:47:41.015,68722.0,0.13465,A,9253.4173,1050939525864275
1774169262742,2026-03-22 08:47:42.742,68723.0,0.00015,B,10.308449999999999,495312170277981
1774169264037,2026-03-22 08:47:44.037,68722.0,0.00416,A,285.88352,1043021358308275
1774169265054,2026-03-22 08:47:45.054,68723.0,0.00057,B,39.172109999999996,945241537306608
1774169265729,2026-03-22 08:47:45.729,68722.0,0.00067,A,46.04374,1077022143287451
1774169266706,2026-03-22 08:47:46.706,68722.0,0.0003,A,20.6166,416488529334664
1774169267354,2026-03-22 08:47:47.354,68723.0,0.01061,B,729.15103,334734478654016
1774169267519,2026-03-22 08:47:47.519,68722.0,0.28398,A,19515.67356,706614944669687
1774169267519,2026-03-22 08:47:47.519,68722.0,0.00017,A,11.68274,879721563250045
1774169268312,2026-03-22 08:47:48.312,68721.0,0.43653,A,29998.77813,557974271960098
1774169268312,2026-03-22 08:47:48.312,68720.0,0.00017,A,11.682400000000001,20124252740364
1774169268312,2026-03-22 08:47:48.312,68720.0,0.00015,A,10.308,607947721102277
1774169268312,2026-03-22 08:47:48.312,68719.0,0.00017,A,11.68223,943044317659200
1774169268312,2026-03-22 08:47:48.312,68718.0,0.00017,A,11.682060000000002,172635226427403
1774169268312,2026-03-22 08:47:48.312,68718.0,0.00015,A,10.307699999999999,1037337424788988
1774169268312,2026-03-22 08:47:48.312,68717.0,0.00017,A,11.681890000000001,712736915297662
1774169268312,2026-03-22 08:47:48.312,68717.0,0.00017,A,11.681890000000001,1069654938674116
1774169268312,2026-03-22 08:47:48.312,68716.0,0.00017,A,11.68172,130298483604150
1774169268312,2026-03-22 08:47:48.312,68716.0,0.00372,A,255.62352,828892918069948
1774169269057,2026-03-22 08:47:49.057,68716.0,0.00056,A,38.480959999999996,1000056445280031
1774169269748,2026-03-22 08:47:49.748,68716.0,0.43654,A,29997.282639999998,1047050248233418
1774169269748,2026-03-22 08:47:49.748,68716.0,0.00017,A,11.68172,569342156714125
1774169269748,2026-03-22 08:47:49.748,68715.0,0.00017,A,11.681550000000001,44947286207256
1774169269748,2026-03-22 08:47:49.748,68715.0,0.00015,A,10.30725,70148706100786
1774169270006,2026-03-22 08:47:50.006,68714.0,0.00017,A,11.68138,394300781846100
1774169270006,2026-03-22 08:47:50.006,68714.0,0.00017,A,11.68138,809418920293693
1774169270006,2026-03-22 08:47:50.006,68713.0,0.00017,A,11.68121,270497649696305
1774169270006,2026-03-22 08:47:50.006,68712.0,0.00017,A,11.681040000000001,427334726939168
1774169270006,2026-03-22 08:47:50.006,68712.0,0.00017,A,11.681040000000001,1103124420085725
1774169270583,2026-03-22 08:47:50.583,68712.0,0.00283,A,194.45496,835550728323834
1774169270583,2026-03-22 08:47:50.583,68712.0,0.00017,A,11.681040000000001,197908476944646
1774169270583,2026-03-22 08:47:50.583,68712.0,0.00409,A,281.03208,801402415086890
1774169272337,2026-03-22 08:47:52.337,68712.0,0.0136,A,934.4831999999999,781243963891259
1774169274403,2026-03-22 08:47:54.403,68712.0,6e-05,A,4.12272,475299880936956
1774169275009,2026-03-22 08:47:55.009,68713.0,0.00045,B,30.920849999999998,357160776263424
1774169275731,2026-03-22 08:47:55.731,68713.0,0.00721,B,495.42073,537293186845642
1774169279454,2026-03-22 08:47:59.454,68713.0,0.0136,B,934.4967999999999,46407405596184
1774169280032,2026-03-22 08:48:00.032,68712.0,0.00131,A,90.01272,1108476772453044
1774169281036,2026-03-22 08:48:01.036,68712.0,0.00238,A,163.53456,77387719626404
1774169281359,2026-03-22 08:48:01.359,68712.0,0.00045,A,30.9204,1060979777882064
1774169281560,2026-03-22 08:48:01.560,68712.0,0.01422,A,977.08464,29830177337980
1774169283180,2026-03-22 08:48:03.180,68713.0,0.00073,B,50.160489999999996,1074539484767705
1774169283266,2026-03-22 08:48:03.266,68713.0,6e-05,B,4.12278,169771498456168
1774169284062,2026-03-22 08:48:04.062,68712.0,0.00142,A,97.57104,442391836644657
1774169288280,2026-03-22 08:48:08.280,68713.0,0.001,B,68.71300000000001,187815176292553
1774169288482,2026-03-22 08:48:08.482,68713.0,0.15194,B,10440.253219999999,927710832910185
1774169288482,2026-03-22 08:48:08.482,68713.0,0.09859,B,6774.41467,198225810477242
1774169288482,2026-03-22 08:48:08.482,68713.0,0.5821,B,39997.8373,682338067781228
1774169288482,2026-03-22 08:48:08.482,68713.0,0.0241,B,1655.9833,520298851695278
1774169288482,2026-03-22 08:48:08.482,68713.0,0.00018,B,12.368340000000002,24389534482549
1774169288482,2026-03-22 08:48:08.482,68713.0,0.0291,B,1999.5483000000002,388982993590971
1774169288482,2026-03-22 08:48:08.482,68713.0,0.0291,B,1999.5483000000002,489172420683099
1774169288482,2026-03-22 08:48:08.482,68713.0,0.04165,B,2861.89645,755904998673718
1774169288482,2026-03-22 08:48:08.482,68713.0,0.00017,B,11.68121,733288057022123
1774169288482,2026-03-22 08:48:08.482,68713.0,0.00016,B,10.99408,581162019739362
1774169288482,2026-03-22 08:48:08.482,68713.0,0.00582,B,399.90966,879341035240178
1774169288482,2026-03-22 08:48:08.482,68713.0,0.04073,B,2798.68049,961968810244060
1774169288482,2026-03-22 08:48:08.482,68713.0,0.01018,B,699.49834,118972563563053
1774169288482,2026-03-22 08:48:08.482,68713.0,0.00146,B,100.32097999999999,630955104975676
1774169288482,2026-03-22 08:48:08.482,68713.0,0.71581,B,49185.452529999995,43065443859543
1774169288482,2026-03-22 08:48:08.482,68713.0,0.19701,B,13537.14813,542924703091086
